,BA,,,,Nividia,,,0, .IXIC,,,,GE,,,, NOK,,,,,36526,45809
Date,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,,,
27/12/1999, $41.94 ,0,0,0, $0.10 ,0,0,0," $4,090.61 ",0,0,0, $254.44 ,0,0,0, $46.91 ,0,0,0,,,
03/01/2000, $44.88 ,0,0,0, $0.10 ,0,0,0," $4,192.19 ",0,0,0, $245.17 ,0,0,0, $46.19 ,0,0,0,,,
10/01/2000, $44.50 ,0,0,0, $0.10 ,0,0,0," $4,091.95 ",0,0,0, $247.17 ,0,0,0, $44.25 ,0,0,0,,,
18/01/2000, $48.13 ,0,0,0, $0.10 ,0,0,0," $4,238.00 ",0,0,0, $240.78 ,0,0,0, $44.68 ,0,0,0,,,
24/01/2000, $46.88 ,0,0,0, $0.10 ,0,0,0," $4,303.15 ",0,0,0, $232.81 ,0,0,0, $45.24 ,0,0,0,,,
31/01/2000, $45.19 ,45.2625,0,0, $0.09 ,0.0984325,0,0," $4,294.84 ",4153.1875,0,0, $228.32 ,246.8915,0,0, $46.79 ,45.510025,0,0,,,
07/02/2000, $43.88 ,45.9125,0,0, $0.11 ,0.09799,0,0," $4,489.79 ",4183.18,0,0, $226.13 ,244.07486,0,0, $49.96 ,45.45542,0,0,,,
14/02/2000, $39.69 ,45.7125,0,0, $0.14 ,0.095334,0,0," $4,564.45 ",4224.026,0,0, $221.74 ,238.85038,0,0, $47.15 ,45.43148,0,0,,,
22/02/2000, $39.94 ,44.75,0,0, $0.14 ,0.09705,0,0," $4,662.93 ",4283.546,0,0, $212.07 ,235.0417,0,0, $49.46 ,46.18544,0,0,,,
28/02/2000, $37.63 ,43.1125,0,0, $0.13 ,0.106454,0,0," $4,914.79 ",4378.046,0,0, $224.13 ,229.9568,0,0, $52.99 ,46.76586,0,0,,,
06/03/2000, $36.19 ,41.2625,0,0, $0.30 ,0.114134,0,0," $5,132.52 ",4463.032,0,0, $222.54 ,224.21388,0,0, $54.35 ,47.72026,0,0,,,
13/03/2000, $38.94 ,39.4625,0,0, $0.31 ,0.12187,0,0," $5,027.73 ",4585.36,0,0, $225.63 ,222.47904,0,0, $52.15 ,49.27004,0,0,,,
20/03/2000, $37.69 ,38.475,0,0, $0.22 ,0.16518,0,0," $5,078.86 ",4752.896,0,0, $255.24 ,221.32248,0,0, $54.56 ,50.78092,0,0,,,
27/03/2000, $38.94 ,38.075,0,0, $0.20 ,0.20612,0,0," $5,022.23 ",4860.484,0,0, $263.02 ,221.22278,0,0, $55.86 ,51.21772,0,0,,,
03/04/2000, $38.25 ,37.875,0,0, $0.22 ,0.22232,0,0," $4,572.84 ",4963.366,0,0, $256.84 ,227.92288,0,0, $54.33 ,52.6987,0,0,,,
10/04/2000, $38.38 ,38,0,0, $0.23 ,0.23454,0,0," $4,475.20 ",5035.226,0,0, $261.42 ,238.1126,0,0, $53.97 ,53.97922,0,0,,,
17/04/2000, $40.25 ,38.4375,0,0, $0.19 ,0.25132,0,0," $3,851.56 ",4966.836,0,0, $252.85 ,244.65318,0,0, $50.26 ,54.2485,0,0,,,
24/04/2000, $41.25 ,38.7,0,0, $0.20 ,0.23688,0,0," $3,873.85 ",4835.372,0,0, $267.90 ,252.43006,0,0, $55.53 ,54.17372,0,0,,,
01/05/2000, $40.19 ,39.4125,0,0, $0.20 ,0.21178,0,0," $3,982.38 ",4600.138,0,0, $258.43 ,257.87388,0,0, $57.44 ,53.79674,0,0,,,
08/05/2000, $39.50 ,39.6625,0,0, $0.19 ,0.20714,0,0," $3,765.22 ",4359.136,0,0, $253.05 ,260.40636,0,0, $53.08 ,53.9912,0,0,,,
15/05/2000, $37.88 ,39.9125,40.95535714,0.027534182, $0.24 ,0.20772,0.17182381,-0.150319056," $3,729.12 ",4151.166,4397.819524,0.066142555, $264.12 ,259.48908,243.514881,-0.060481296, $54.69 ,54.30834,50.94505714,-0.061495756,,,
22/05/2000, $39.00 ,39.8125,40.81547619,0.025717338, $0.25 ,0.20272,0.178817619,-0.097282788," $3,390.95 ",3989.642,4364.502381,0.110547304, $248.26 ,258.73182,243.2206333,-0.062478372, $48.11 ,54.05702,51.00204286,-0.063500893,,,
30/05/2000, $40.56 ,39.5625,40.61011905,0.02582728, $0.28 ,0.2045,0.187288095,-0.062114416," $3,814.50 ",3840.426,4346.517143,0.132675617, $258.43 ,259.27076,243.8522143,-0.05966126, $56.73 ,54.20062,51.5035381,-0.047545947,,,
05/06/2000, $40.19 ,39.425,40.4047619,0.024379767, $0.29 ,0.21624,0.19674619,-0.066350611," $3,893.67 ",3748.304,4337.075238,0.151212414, $250.96 ,258.35398,244.0327476,-0.057066502, $56.01 ,53.7698,52.06344286,-0.030466474,,,
12/06/2000, $41.00 ,39.425,40.06547619,0.01562137, $0.31 ,0.23166,0.206841429,-0.079419429," $3,892.05 ",3736.434,4320.601429,0.150092478, $249.76 ,256.46012,244.4601714,-0.048045822, $57.32 ,54.00916,52.66537619,-0.023441865,,,
19/06/2000, $40.13 ,39.725,39.74404762,0.000474707, $0.37 ,0.24984,0.219721429,-0.082134092," $4,073.73 ",3718.692,4309.676667,0.145072125, $248.56 ,254.96506,245.2104429,-0.039243885, $59.84 ,53.72194,53.36062857,-0.006038231,,,
26/06/2000, $42.25 ,40.175,39.60416667,-0.013510848, $0.35 ,0.27358,0.232238095,-0.118662184," $3,974.48 ",3744.058,4294.421429,0.138474323, $254.14 ,254.30702,246.4396476,-0.030957453, $52.66 ,54.57162,53.63986667,-0.017694834,,,
03/07/2000, $44.06 ,40.825,39.61309524,-0.027504222, $0.28 ,0.29916,0.2402,-0.2144," $4,054.05 ",3812.98,4273.671905,0.11363745, $251.26 ,251.19622,247.6362143,-0.014168833, $52.06 ,55.60082,53.73959524,-0.035752562,,,
10/07/2000, $45.13 ,41.525,39.87202381,-0.036631051, $0.32 ,0.3197,0.248766667,-0.220221463," $4,252.22 ",3929.686,4258.80381,0.077399055, $258.43 ,252.37024,249.3835286,-0.011556924, $53.61 ,56.51034,54.04732857,-0.045939535,,,
17/07/2000, $47.31 ,42.5125,40.22321429,-0.048386488, $0.31 ,0.31928,0.257033333,-0.199189333," $4,289.06 ",3977.596,4241.000476,0.061413101, $262.02 ,250.9345,251.7623,0.00315925, $55.11 ,55.57688,54.3166,-0.022868362,,,
24/07/2000, $50.25 ,43.775,40.82440476,-0.058718313, $0.29 ,0.32494,0.264547619,-0.206328599," $4,125.80 ",4049.306,4203.429524,0.037356034, $261.43 ,252.43008,253.5381,0.004238371, $53.85 ,55.09818,54.35791905,-0.013745803,,,
31/07/2000, $49.94 ,45.8,41.47916667,-0.086524823, $0.27 ,0.32494,0.263057143,-0.228518675," $3,846.98 ",4128.708,4142.213333,0.003510633, $257.84 ,254.88282,255.2189429,0.001303627, $43.08 ,54.6554,53.82152381,-0.019355155,,,
07/08/2000, $49.94 ,47.3375,42.00297619,-0.106824006, $0.30 ,0.31014,0.262261905,-0.161859686," $3,936.46 ",4139.122,4090.248095,-0.0124157, $274.59 ,257.4552,257.5502429,0.00034613, $39.79 ,53.45866,53.23312381,-0.005667906,,,
14/08/2000, $49.88 ,48.5125,42.58333333,-0.118880535, $0.32 ,0.29462,0.267085714,-0.08485142," $3,980.26 ",4113.622,4037.93381,-0.019015891, $274.59 ,258.19552,258.4714476,0.001004882, $40.15 ,51.54388,52.54712857,0.024987013,,,
21/08/2000, $54.50 ,49.4625,43.32440476,-0.112625601, $0.34 ,0.29878,0.273671429,-0.074219839," $4,083.12 ",4090.104,3993.214286,-0.023729333, $285.06 ,262.8617,259.5208476,-0.011719986, $41.41 ,49.09054,51.859,0.066859064,,,
28/08/2000, $56.25 ,50.9,44.18154762,-0.119439153, $0.34 ,0.29926,0.27962381,-0.057115156," $4,259.87 ",4035.712,3978.310952,-0.013474836, $289.54 ,266.09214,261.0782619,-0.017316541, $45.96 ,46.39786,51.46008571,0.110155907,,,
05/09/2000, $59.94 ,52.1,45.20833333,-0.114980883, $0.34 ,0.30442,0.284833333,-0.057726692," $4,206.51 ",3994.524,3965.51619,-0.006895933, $287.15 ,270.6985,262.3033333,-0.029236192, $45.48 ,43.6573,51.05547143,0.162681554,,,
11/09/2000, $60.13 ,54.1,46.1547619,-0.132145332, $0.31 ,0.31464,0.290661905,-0.077498692," $4,008.46 ",4021.338,3972.987619,-0.012062084, $287.45 ,276.32186,263.9509571,-0.043036877, $43.26 ,42.0776,50.72209524,0.199815434,,,
18/09/2000, $64.31 ,56.1375,47.25297619,-0.138146143, $0.30 ,0.32834,0.29532381,-0.110829777," $3,913.87 ",4093.244,3974.893333,-0.030238783, $279.37 ,282.1845,264.4970857,-0.063311154, $43.26 ,42.5563,50.13797143,0.175248517,,,
25/09/2000, $66.94 ,59.025,48.52678571,-0.156836068, $0.36 ,0.33106,0.3026,-0.080011245," $3,868.11 ",4107.644,3969.451905,-0.035725999, $285.95 ,284.75688,265.8076143,-0.066266994, $41.83 ,43.25042,49.39428095,0.146889898,,,
02/10/2000, $63.00 ,61.5125,49.64583333,-0.188359788, $0.36 ,0.32574,0.310485714,-0.042443755," $3,714.48 ",4094.366,3967.035714,-0.034279438, $286.85 ,285.71404,267.4171381,-0.063785453, $40.27 ,43.87274,48.78450952,0.12196942,,,
09/10/2000, $61.25 ,62.8625,50.75892857,-0.197609329, $0.30 ,0.32922,0.3132,-0.054158215," $3,383.40 ",4051.364,3950.572857,-0.029789899, $286.25 ,285.8935,268.4711571,-0.06086357, $35.72 ,43.95652,47.88125238,0.109866007,,,
16/10/2000, $61.50 ,63.125,51.83035714,-0.183652729, $0.30 ,0.33234,0.315638095,-0.05625431," $3,535.11 ",3942.286,3957.437619,0.004286039, $276.98 ,285.3551,269.8385381,-0.056020534, $37.76 ,42.8196,47.38830476,0.121001893,,,
23/10/2000, $63.94 ,63.4,52.94345238,-0.163543267, $0.29 ,0.32364,0.316457143,-0.024406582," $3,526.71 ",3777.664,3943.733333,0.047089024, $257.84 ,285.17562,269.8100524,-0.059594207, $39.85 ,40.8689,46.58477619,0.143428667,,,
30/10/2000, $67.88 ,63.325,54.26190476,-0.133526265, $0.30 ,0.32114,0.316852381,-0.014192714," $3,468.59 ",3682.994,3923.491429,0.06933579, $263.22 ,283.08182,270.3940381,-0.048202086, $42.48 ,39.76788,45.94081429,0.145298504,,,
06/11/2000, $66.38 ,63.5125,55.4702381,-0.121164021, $0.33 ,0.32042,0.317842857,-0.007732202," $3,480.01 ",3605.562,3903.870476,0.08572058, $264.42 ,278.77458,271.0919714,-0.029054886, $42.07 ,39.08574,45.21421905,0.145688616,,,
13/11/2000, $66.81 ,64.1875,56.74107143,-0.111452626, $0.30 ,0.3097,0.314433333,0.016039761," $3,208.95 ",3525.658,3862.690476,0.105028896, $256.34 ,274.22804,271.4623048,-0.010789282, $40.45 ,39.21738,44.29101429,0.125429772,,,
20/11/2000, $69.50 ,65.3,58.03869048,-0.104479274, $0.26 ,0.30448,0.310047619,0.021723055," $2,949.50 ",3478.764,3813.881905,0.113618547, $248.56 ,269.74132,271.197019,0.005856436, $40.51 ,39.5764,43.71259048,0.102103201,,,
27/11/2000, $70.00 ,66.9,59.27380952,-0.108945578, $0.26 ,0.30434,0.309252381,0.019018122," $2,998.75 ",3443.874,3763.629524,0.106629604, $246.17 ,263.75904,270.9548762,0.029231036, $43.14 ,40.52182,43.28802857,0.064117651,,,
04/12/2000, $70.94 ,68.1125,60.50297619,-0.10727082, $0.21 ,0.29622,0.303861905,0.036581641," $2,929.95 ",3326.752,3700.664286,0.127617292, $265.91 ,258.07586,271.3109667,0.049772375, $51.46 ,41.07234,43.18545238,0.041063122,,,
11/12/2000, $70.63 ,68.725,61.61309524,-0.100699536, $0.21 ,0.28902,0.299052381,0.047434425," $3,028.75 ",3221.16,3640.649524,0.138502525, $268.90 ,255.74276,271.6385667,0.059113358, $48.83 ,41.73054,42.8862619,0.023669633,,,
18/12/2000, $69.94 ,69.575,62.55059524,-0.100438317, $0.18 ,0.27038,0.293595238,0.130349456," $2,726.20 ",3113.432,3574.001905,0.168942082, $246.17 ,256.28118,270.9121476,0.05943414, $46.91 ,43.52566,42.55573333,-0.020675229,,,
26/12/2000, $67.00 ,70.2,63.36309524,-0.102043355, $0.16 ,0.24602,0.288090476,0.271072656," $2,577.02 ",3023.18,3513.527619,0.190276994, $238.10 ,257.17852,269.9720714,0.05373297, $43.08 ,44.87798,42.55573333,-0.053901819,,,
02/01/2001, $65.31 ,69.7,64.0952381,-0.085814536, $0.19 ,0.22262,0.282857143,0.324029816," $2,644.80 ",2926.63,3452.02,0.198650181, $233.31 ,255.14454,268.0064619,0.055128224, $43.68 ,46.17048,42.74094286,-0.078512888,,,
08/01/2001, $60.88 ,68.7625,64.61904762,-0.068064926, $0.22 ,0.2024,0.277671429,0.349125364," $2,699.87 ",2852.134,3391.049048,0.199607777, $226.13 ,253.05074,265.6990095,0.055933496, $41.53 ,46.68508,42.80648095,-0.093399227,,,
16/01/2001, $62.69 ,66.75,65.00892857,-0.027773821, $0.24 ,0.18792,0.272871429,0.357690226," $2,841.25 ",2781.344,3331.912381,0.193776817, $232.11 ,250.47836,263.1779,0.054712818, $40.39 ,46.79278,42.75804286,-0.099893963,,,
22/01/2001, $59.69 ,65.1625,65.17261905,0.000169534, $0.23 ,0.18926,0.267609524,0.335831649," $2,892.36 ",2735.328,3266.792857,0.183747824, $226.73 ,242.52192,260.1867571,0.077911782, $38.12 ,44.80618,42.38477143,-0.063526686,,,
29/01/2001, $58.91 ,63.1125,65.12369048,0.034140052, $0.23 ,0.19446,0.262214286,0.299797724," $2,872.47 ",2697.828,3203.267143,0.175959764, $224.69 ,235.1637,257.2127048,0.098128726, $36.14 ,43.11878,41.9402619,-0.032608264,,,
05/02/2001, $58.46 ,61.4945,65.04440476,0.060723653, $0.20 ,0.2055,0.257004762,0.25752381," $2,705.59 ",2731.06,3141.225714,0.151599361, $230.44 ,231.27522,254.4978857,0.10077633, $32.50 ,41.35956,41.4279381,0.002103708,,,
12/02/2001, $61.94 ,60.124,64.93142857,0.077614281, $0.25 ,0.21966,0.25492381,0.138724664," $2,593.09 ",2790.15,3078.331429,0.111134372, $230.20 ,228.59516,252.1562476,0.102351222, $28.62 ,39.97132,40.73051905,0.026530023,,,
20/02/2001, $62.80 ,60.337,64.73440476,0.070022369, $0.25 ,0.22248,0.249890476,0.109641905," $2,442.99 ",2802.308,3010.468571,0.085207296, $231.87 ,228.02086,249.5810143,0.092982439, $26.00 ,37.7358,39.97702381,0.086191302,,,
26/02/2001, $63.90 ,60.3595,64.7772619,0.069135554, $0.23 ,0.2302,0.243538095,0.059018121," $2,309.73 ",2780.952,2943.575714,0.070408106, $230.87 ,228.83444,246.9151905,0.078316264, $24.22 ,35.1537,39.21281429,0.167578958,,,
05/03/2001, $65.60 ,61.202,64.98440476,0.057658609, $0.23 ,0.2327,0.240252381,0.03329974," $2,243.78 ",2701.3,2889.308095,0.083790788, $223.02 ,228.78658,243.9041095,0.067785624, $26.08 ,32.27624,38.75360476,0.248369975,,,
12/03/2001, $64.32 ,62.54,65.11869048,0.040091581, $0.27 ,0.23124,0.238761905,0.028320425," $2,030.73 ",2584.774,2817.670952,0.114686321, $207.23 ,229.61452,240.5825143,0.052927592, $24.34 ,29.49738,38.11454286,0.354076626,,,
19/03/2001, $57.19 ,63.712,64.79738095,0.018978509, $0.29 ,0.2314,0.238661905,0.024852515," $1,974.14 ",2459.036,2743.739048,0.14421624, $201.48 ,229.27952,237.8990286,0.042780242, $26.03 ,27.48494,37.45644286,0.383053783,,,
26/03/2001, $57.27 ,62.762,64.29238095,0.02672221, $0.30 ,0.24452,0.2385,-0.020154001," $1,979.75 ",2324.064,2672.841905,0.176172701, $202.15 ,224.63726,234.9910667,0.051217574, $26.57 ,25.85162,36.69850476,0.408271846,,,
02/04/2001, $57.50 ,61.656,63.8697619,0.038500207, $0.28 ,0.25212,0.235785714,-0.059117936," $1,852.49 ",2200.274,2595.340952,0.213262664, $204.12 ,218.89426,232.1195667,0.064793218, $23.69 ,25.33462,35.82328571,0.442821317,,,
09/04/2001, $61.00 ,60.376,63.59297619,0.052737315, $0.31 ,0.26186,0.236266667,-0.08385758," $1,961.57 ",2107.626,2535.941905,0.218353617, $217.90 ,212.95026,230.2889857,0.079572378, $26.57 ,25.4476,35.16222857,0.365654235,,,
16/04/2001, $64.91 ,59.456,63.37440476,0.060366735, $0.38 ,0.27192,0.241919048,-0.08000254," $2,202.86 ",2016.178,2500.387619,0.219809529, $233.31 ,207.5997,229.5625667,0.094136308, $30.54 ,25.34038,34.68751905,0.306052161,,,
23/04/2001, $62.13 ,59.574,62.99964286,0.055136695, $0.37 ,0.2876,0.247138095,-0.109980714," $2,118.77 ",1959.736,2458.48381,0.235394974, $239.29 ,206.57552,229.2349667,0.094693905, $30.76 ,25.43804,34.09787619,0.281527304,,,
30/04/2001, $65.00 ,60.562,62.71690476,0.033152381, $0.39 ,0.30948,0.255733333,-0.138024311," $2,232.66 ",1994.162,2425.279524,0.193095914, $239.34 ,211.79208,227.9695667,0.06759227, $33.62 ,26.67884,33.24852857,0.195388046,,,
07/05/2001, $66.43 ,62.108,62.51714286,0.006159007, $0.40 ,0.32462,0.264566667,-0.151267842," $2,215.37 ",2023.088,2386.547143,0.164062501, $241.21 ,219.3537,226.6506143,0.030251819, $32.31 ,27.62456,32.46209524,0.149712808,,,
14/05/2001, $69.85 ,63.894,62.51297619,-0.019771279, $0.37 ,0.34276,0.273842857,-0.184814006," $2,216.36 ",2073.67,2362.269048,0.130213074, $253.60 ,226.79088,227.0044238,0.000842046, $32.45 ,29.03576,31.77322381,0.084369319,,,
21/05/2001, $68.95 ,65.664,62.60583333,-0.044353396, $0.42 ,0.3669,0.286295238,-0.193435954," $2,328.05 ",2146.246,2350.413333,0.087698861, $256.28 ,234.20892,227.8704333,-0.024732546, $33.99 ,30.76098,31.34011429,0.017039576,,,
29/05/2001, $65.57 ,66.472,62.61809524,-0.058775427, $0.38 ,0.38044,0.295538095,-0.223426065," $2,239.92 ",2197.204,2331.133333,0.059792016, $241.92 ,241.34938,228.2806476,-0.054020058, $29.92 ,31.93666,30.68475714,-0.041843491,,,
04/06/2001, $67.55 ,67.16,62.93595238,-0.062532163, $0.42 ,0.38878,0.305033333,-0.201799197," $2,264.58 ",2222.242,2310.405238,0.038931386, $237.47 ,245.94378,228.8207619,-0.072105146, $30.11 ,32.62598,30.14109048,-0.082526778,,,
11/06/2001, $66.49 ,67.67,63.11702381,-0.068476105, $0.41 ,0.3912,0.313414286,-0.188115391," $2,205.41 ",2246.472,2280.127143,0.015260266, $240.30 ,246.47022,229.2104667,-0.071826903, $27.94 ,32.45768,29.54807143,-0.104149673,,,
18/06/2001, $64.99 ,67.682,63.36952381,-0.066355996, $0.40 ,0.39632,0.32142381,-0.186540948," $2,077.43 ",2252.856,2241.320952,-0.005552557, $250.92 ,246.09694,230.362481,-0.062706824, $22.69 ,31.75494,28.81349524,-0.129634459,,,
25/06/2001, $58.38 ,66.71,63.34428571,-0.057651838, $0.39 ,0.39962,0.329352381,-0.179025781," $2,180.11 ",2250.864,2208.351429,-0.019500196, $251.78 ,245.91508,231.6523762,-0.056646923, $22.16 ,30.87988,28.14787619,-0.123264789,,,
02/07/2001, $57.22 ,64.596,63.2852381,-0.022907408, $0.38 ,0.40534,0.33782381,-0.178661525," $2,181.05 ",2223.078,2183.373333,-0.018204382, $240.25 ,245.37906,232.1195619,-0.05519074, $22.17 ,28.9287,27.65595714,-0.057399794,,,
09/07/2001, $55.21 ,62.926,62.9647619,0.000702081, $0.35 ,0.4005,0.342238095,-0.167950143," $2,105.15 ",2193.49,2160.138095,-0.015843006, $228.52 ,244.47932,232.0398,-0.054434338, $18.54 ,26.56392,27.17589048,0.033016664,,,
16/07/2001, $57.95 ,60.458,62.73380952,0.03927195, $0.34 ,0.40008,0.346404762,-0.159037743," $2,091.68 ",2181.716,2143.409048,-0.018313964, $227.33 ,244.1443,231.8233,-0.054199481, $19.15 ,25.01484,26.8494619,0.095813217,,,
23/07/2001, $58.90 ,58.75,62.49571429,0.06359447, $0.34 ,0.38646,0.351885714,-0.101361143," $2,047.85 ",2149.83,2130.938571,-0.009225006, $223.12 ,242.3544,231.4541095,-0.048854944, $20.46 ,22.69986,26.67029524,0.194062212,,,
30/07/2001, $59.75 ,57.532,62.21714286,0.078412433, $0.37 ,0.37126,0.358652381,-0.034176251," $2,102.53 ",2127.084,2124.212381,-0.001365792, $214.88 ,239.76048,231.0666857,-0.040458119, $21.92 ,20.94208,26.47243333,0.252246508,,,
06/08/2001, $59.80 ,57.806,62.00190476,0.070165631, $0.38 ,0.35918,0.364004762,0.01276392," $2,053.60 ",2121.168,2125.301429,0.002012772, $205.12 ,234.19936,230.9661857,-0.01576267, $20.97 ,20.49594,26.31195714,0.277389094,,,
13/08/2001, $57.24 ,58.322,62.00428571,0.064330638, $0.37 ,0.35446,0.367890476,0.035929578," $1,998.59 ",2105.652,2126.465714,0.010414199, $206.32 ,226.81962,231.1963619,0.021213665, $19.17 ,20.44808,25.98507619,0.288880227,,,
20/08/2001, $53.95 ,58.728,61.84619048,0.057797785, $0.36 ,0.35448,0.370928571,0.045375369," $1,916.83 ",2080.162,2123.469524,0.022593304, $202.25 ,219.79308,231.2009238,0.05640489, $17.46 ,20.20682,25.55150952,0.306059676,,,
27/08/2001, $53.91 ,57.928,61.6752381,0.069509147, $0.37 ,0.35986,0.375619048,0.042046552," $1,933.94 ",2058.85,2127.348095,0.035418935, $203.68 ,215.35182,231.1804143,0.077711182, $17.07 ,20.3332,25.23648095,0.287238785,,,
04/09/2001, $51.97 ,56.93,61.2452381,0.083033252, $0.35 ,0.36486,0.377847619,0.036896645," $1,836.19 ",2023.88,2121.377619,0.053097783, $201.82 ,210.33628,230.414681,0.099487465, $14.93 ,19.9962,24.6821,0.313946321,,,
10/09/2001, $45.95 ,55.374,60.34238095,0.10812581, $0.33 ,0.3716,0.37557619,0.012148459," $1,702.12 ",2001.098,2097.532857,0.056655734, $192.20 ,206.45018,228.4570476,0.114500487, $13.36 ,19.31836,23.86375238,0.340333519,,,
17/09/2001, $38.70 ,52.604,59.22666667,0.171128338, $0.30 ,0.36822,0.3725,0.014111441," $1,629.10 ",1947.83,2074.215238,0.077579791, $178.03 ,203.8371,225.5399714,0.121903712, $16.08 ,17.91864,23.1649,0.326172727,,,
24/09/2001, $34.65 ,48.896,57.78142857,0.256433725, $0.26 ,0.35808,0.366414286,0.03185889," $1,528.33 ",1877.534,2040.675714,0.106745084, $178.51 ,201.2537,222.6434048,0.119822626, $16.74 ,16.39638,22.36114286,0.356213704,,,
01/10/2001, $37.52 ,45.036,56.4047619,0.303005381, $0.28 ,0.34398,0.36092381,0.060148419," $1,641.56 ",1803.636,2013.351429,0.127753739, $185.21 ,195.59686,219.9770143,0.131634057, $16.56 ,15.77982,21.61118571,0.35207183,,,
08/10/2001, $37.64 ,41.758,54.87095238,0.348378119, $0.34 ,0.3238,0.359238095,0.105001764," $1,707.42 ",1725.936,1989.11619,0.154139105, $188.99 ,190.8493,216.9004095,0.137842101, $18.67 ,15.63622,20.9551381,0.284903375,,,
15/10/2001, $35.75 ,38.892,53.29,0.402741259, $0.38 ,0.30518,0.357371429,0.13825544," $1,754.01 ",1667.46,1961.780952,0.167798902, $187.84 ,187.15464,213.6414857,0.141004631, $19.61 ,15.53474,20.27037143,0.241521429,,,
22/10/2001, $38.10 ,36.852,51.98190476,0.397110361, $0.42 ,0.30228,0.359290476,0.135642342," $1,792.87 ",1641.706,1940.492857,0.166652829, $186.55 ,184.58944,211.004719,0.141597708, $21.23 ,16.28342,19.85640952,0.168334764,,,
29/10/2001, $35.90 ,36.732,50.4747619,0.382806738, $0.40 ,0.31232,0.358471429,0.116016663," $1,767.97 ",1652.084,1916.844762,0.149754103, $185.45 ,183.71842,208.527481,0.133776978, $20.82 ,17.53378,19.41418571,0.090302531,,,
05/11/2001, $35.75 ,36.982,49.01095238,0.336474192, $0.44 ,0.33572,0.359909524,0.054517746," $1,888.39 ",1684.838,1901.748571,0.114865346, $193.73 ,185.42216,206.3100476,0.107819359, $22.54 ,18.56202,19.15705714,0.02640256,,,
12/11/2001, $35.01 ,36.628,47.58333333,0.312920118, $0.47 ,0.36296,0.363009524,0.000106138," $1,922.45 ",1732.766,1894.368571,0.084060741, $199.09 ,186.81006,203.8419286,0.085548374, $24.07 ,19.37772,19.22270952,-0.006440254,,,
19/11/2001, $35.65 ,36.102,46.50095238,0.291695719, $0.45 ,0.39536,0.365547619,-0.066873892," $1,934.70 ",1782.132,1882.682381,0.051972079, $199.90 ,188.51382,201.3715286,0.064319384, $24.16 ,20.57254,19.31799524,-0.051916422,,,
26/11/2001, $36.25 ,36.082,45.50238095,0.259872578, $0.46 ,0.42118,0.36952381,-0.111955333," $1,965.09 ",1825.138,1872.398571,0.02405008, $199.95 ,190.53344,199.4526429,0.04460672, $24.16 ,21.6525,19.41282381,-0.092683799,,,
03/12/2001, $37.55 ,35.712,44.66142857,0.23833365, $0.52 ,0.43484,0.377985714,-0.10837645," $2,065.69 ",1861.276,1870.519524,0.004474788, $183.78 ,192.9455,197.3218095,0.023813294, $24.51 ,22.56394,19.69730952,-0.116960451,,,
10/12/2001, $38.29 ,36.042,43.7252381,0.20065913, $0.55 ,0.44306,0.388085714,-0.100025993," $2,036.54 ",1895.72,1867.89381,-0.013663464, $182.58 ,195.62558,195.1909762,-0.002380355, $24.99 ,23.15178,19.97541429,-0.127115135,,,
17/12/2001, $39.20 ,36.55,42.78714286,0.159110787, $0.57 ,0.46842,0.399204762,-0.120458124," $2,010.91 ",1955.264,1866.134762,-0.044322838, $198.09 ,195.29058,193.9990762,-0.006519931, $24.63 ,23.88898,20.17418571,-0.1508007,,,
24/12/2001, $39.12 ,37.388,41.8047619,0.112902912, $0.59 ,0.4896,0.409514286,-0.136805115," $2,002.72 ",1984.894,1861.381905,-0.061672173, $198.09 ,193.06038,193.1991571,0.000700592, $24.42 ,24.37918,20.29317619,-0.1673001,,,
31/12/2001, $40.40 ,38.082,40.88095238,0.069281, $0.61 ,0.5112,0.420347619,-0.15004522," $2,077.89 ",2002.586,1862.538571,-0.067398865, $197.85 ,192.85938,192.852981,-3.23435E-05, $25.91 ,24.49214,20.52842381,-0.152996703,,,
07/01/2002, $41.89 ,38.912,40.15,0.029553593, $0.59 ,0.53912,0.43062381,-0.184016605," $2,098.88 ",2016.19,1867.314286,-0.070931027, $195.50 ,192.49566,192.3379333,-0.000806781, $25.35 ,24.54384,20.8229381,-0.14677014,,,
14/01/2002, $39.62 ,39.78,39.46761905,-0.007884426, $0.54 ,0.56794,0.439304762,-0.236114607," $2,018.42 ",2038.75,1872.151905,-0.082538865, $186.60 ,192.0745,191.5927095,-0.002581949, $21.97 ,24.89234,21.03767143,-0.175433094,,,
22/01/2002, $40.83 ,40.046,38.8447619,-0.029420477, $0.56 ,0.58094,0.448085714,-0.237579195," $1,959.93 ",2045.388,1873.389524,-0.087757459, $188.80 ,194.41954,190.8839524,-0.01872653, $23.01 ,25.06084,21.32032857,-0.162587104,,,
28/01/2002, $41.65 ,40.372,38.35333333,-0.048467387, $0.57 ,0.57998,0.458447619,-0.213364433," $1,959.05 ",2041.764,1879.24,-0.082960619, $184.83 ,195.22356,190.074919,-0.027856285, $22.72 ,24.45768,21.69143333,-0.121759174,,,
